reads;rate;time
5000;1.4795614264714767;1.6003618240356445
10000;1.823982823939135;2.0874717235565186
20000;2.383434522526626;3.077695369720459
40000;3.0356473866366405;5.5642571449279785
80000;3.70229532447951;9.07115387916565
120000;4.141776013638757;15.223589420318604
