CMDLINE C:\Users\antoi\anaconda3\python.exe read_sort.py -i data/ecoli_100Kb_reads_80x.fasta -m chatgpt_sort -c data/headerless/ecoli_100Kb_reads_80x.fasta.headerless.gz --delete_output True
MEM 1.601562 1670764823.5539
MEM 18.187500 1670764823.6579
MEM 27.773438 1670764823.7679
MEM 37.578125 1670764823.8800
MEM 44.886719 1670764823.9920
MEM 57.949219 1670764824.1020
MEM 67.453125 1670764824.2140
MEM 68.492188 1670764824.3261
MEM 68.554688 1670764824.4341
MEM 71.289062 1670764824.5461
MEM 82.343750 1670764824.6581
MEM 87.906250 1670764824.7682
MEM 97.148438 1670764824.8802
MEM 117.632812 1670764824.9922
MEM 117.652344 1670764825.1032
MEM 117.652344 1670764825.2123
MEM 117.652344 1670764825.3243
MEM 117.652344 1670764825.4363
MEM 117.652344 1670764825.5483
MEM 117.652344 1670764825.6604
MEM 117.652344 1670764825.7724
MEM 117.652344 1670764825.8804
MEM 117.652344 1670764825.9924
MEM 117.652344 1670764826.1035
MEM 117.777344 1670764826.2125
MEM 117.839844 1670764826.3245
MEM 117.914062 1670764826.4345
MEM 118.027344 1670764826.5446
MEM 118.152344 1670764826.6546
MEM 118.199219 1670764826.7656
MEM 118.339844 1670764826.8766
MEM 118.402344 1670764826.9887
MEM 118.527344 1670764827.1007
MEM 118.589844 1670764827.2127
MEM 118.679688 1670764827.3227
MEM 118.777344 1670764827.4348
MEM 118.902344 1670764827.5468
MEM 119.027344 1670764827.6588
MEM 119.468750 1670764827.7708
MEM 119.550781 1670764827.8799
MEM 119.683594 1670764827.9909
MEM 120.250000 1670764828.1029
MEM 120.304688 1670764828.2149
MEM 120.468750 1670764828.3250
MEM 120.535156 1670764828.4370
MEM 120.660156 1670764828.5490
MEM 120.722656 1670764828.6610
MEM 120.800781 1670764828.7731
MEM 120.910156 1670764828.8851
MEM 121.035156 1670764828.9971
MEM 121.089844 1670764829.1091
MEM 121.222656 1670764829.2192
MEM 121.285156 1670764829.3292
MEM 127.539062 1670764829.4412
MEM 110.011719 1670764829.5532
MEM 110.140625 1670764829.6653
MEM 110.140625 1670764829.7773
MEM 110.140625 1670764829.8893
MEM 110.140625 1670764830.0013
MEM 110.140625 1670764830.1134
MEM 110.140625 1670764830.2254
MEM 110.140625 1670764830.3374
MEM 109.949219 1670764830.4475
MEM 104.429688 1670764830.5585
