file,cs,comp,time,mem_prof
human_5x,50000,1.6954047224765059,2.7156,115.363281
human_10x,100000,2.1239484176257193,5.6273,134.542969
human_20x,200000,2.732199802143264,10.7669,162.800781
human_40x,400000,3.518661965566119,21.6409,220.402344
human_80x,800000,4.467119629056256,43.6901,338.257812
human_120x,1200000,5.112004966490835,65.5738,459.531250
